-BEGIN HEADER-,,,,,,,,,,,San Francisco
2015,5,27,5.81,3.96,8.53,2.74,0.51,1.79,0.36,15.21,110.84
2015,5,28,5.59,3.49,8.5,3.18,0.49,1.74,0.35,14.7,107.39
2015,5,29,5.35,3.22,8.38,3.15,0.47,1.72,0.34,14.13,102.55
2015,5,30,5.62,3.65,8.5,2.96,0.49,1.84,0.37,14.55,106.66
2015,5,31,5.79,2.96,8.43,3.68,0.51,1.81,0.37,14.98,110.61
2015,6,1,6.26,4.71,8.45,3.12,0.55,1.83,0.37,16.23,120.11
2015,6,2,7.16,6.44,8.65,2.77,0.62,2.09,0.41,17.98,134.35
2015,6,3,6.18,3.8,8.56,3.51,0.54,1.78,0.36,15.93,117.41
2015,6,4,7.77,7.73,8.48,2.23,0.68,2.13,0.43,19.2,145.95
2015,6,5,5.75,3.89,8.21,2.9,0.5,1.66,0.33,15.09,111.69
2015,6,6,5.74,3.79,8.33,2.87,0.5,1.68,0.34,15.16,111.64
2015,6,7,6.7,4.88,8.37,3.2,0.59,1.93,0.39,17.29,129.57
2015,6,8,7.68,7.12,8.43,2.68,0.66,2.19,0.44,18.95,145.12
2015,6,9,4.95,2.21,8.05,3.42,0.43,1.61,0.32,13.18,97.54
2015,6,10,3.24,1.36,7.81,2.36,0.28,1.16,0.23,9.59,67.7
2015,6,11,6.74,4.88,8.48,3.1,0.59,2.15,0.43,17.48,129.82
2015,6,12,7.84,7.9,8.61,2.37,0.68,2.31,0.46,19.07,145.96
2015,6,13,6.87,4.92,8.85,3.47,0.59,2.19,0.44,17.48,129.2
2015,6,14,5.91,4.04,8.92,2.96,0.51,1.99,0.4,15.68,112.58
2015,6,15,5.29,3.68,8.95,2.65,0.46,1.83,0.36,14.19,100.88
2015,6,16,7.24,6.62,8.92,2.75,0.62,2.3,0.45,18.09,134.75
2015,6,17,6.77,5.8,8.88,2.85,0.59,2.26,0.45,17.02,126.13
2015,6,18,8.32,9.9,9.01,1.45,0.72,2.79,0.54,20.23,152.52
2015,6,19,8.71,10.41,8.95,1.48,0.75,2.81,0.55,20.98,159.83
2015,6,20,7.13,4.85,8.94,3.9,0.62,2.44,0.48,17.89,132.9
2015,6,21,8.04,8.46,8.91,2.19,0.7,2.6,0.52,19.72,148.65
2015,6,22,6.11,5.29,8.77,2.64,0.53,2.08,0.41,16.01,117.14
2015,6,23,8.77,11.29,8.89,1.24,0.76,2.69,0.53,21.15,161.65
2015,6,24,8.2,9.12,8.84,1.95,0.71,2.49,0.49,19.88,151.12
2015,6,25,8.39,9.99,8.52,1.35,0.73,2.59,0.51,20.24,156.15
2015,6,26,6.22,4.59,8.55,3.02,0.54,2.18,0.43,16.25,120.16
2015,6,27,6.1,4.1,8.41,2.97,0.53,2.19,0.43,15.99,117.21
2015,6,28,6.36,4.76,8.49,2.91,0.55,2.2,0.44,16.41,122.02
2015,6,29,7.65,7.57,8.61,2.18,0.66,2.5,0.49,19.05,143.73
2015,6,30,6.54,4.54,8.26,3.3,0.57,2.25,0.45,17,127.39
2015,7,1,5.59,2.93,7.99,3.52,0.48,1.91,0.38,14.73,109.88
2015,7,2,4.44,1.96,7.89,3.03,0.38,1.58,0.31,12.16,88.61
2015,7,3,6.14,4.49,8.23,2.88,0.53,2.16,0.43,16.16,119.8
2015,7,4,6.42,5.03,8.35,2.72,0.56,2.24,0.45,17.02,125.48
2015,7,5,6.29,4.41,8.4,2.99,0.55,2.14,0.42,16.63,122.2
2015,7,6,7.57,7.86,8.43,1.84,0.66,2.48,0.48,19.21,144.39
2015,7,7,7.15,6.26,8.41,2.72,0.62,2.3,0.46,18.23,136.84
2015,7,8,5.1,2.79,8.37,3,0.45,1.8,0.36,14.02,100.09
2015,7,9,3.83,1.41,8.27,2.8,0.34,1.41,0.28,11.34,78.64
2015,7,10,5.03,2.9,8.11,3.17,0.44,1.62,0.33,13.79,99.89
2015,7,11,7.61,7.66,8.25,2.32,0.67,2.16,0.43,18.95,145.22
2015,7,12,7.84,7.68,8.29,2.26,0.69,2.24,0.45,19.38,148.5
2015,7,13,6.61,5.61,8.34,2.38,0.59,2.02,0.4,16.96,125.91
2015,7,14,5.55,4.05,8.43,2.5,0.49,1.77,0.35,14.7,106.98
2015,7,15,5.8,4.25,8.46,2.75,0.52,1.84,0.37,15.23,111.65
2015,7,16,5.69,4.55,8.44,2.34,0.51,1.8,0.36,14.77,108.09
2015,7,17,6.28,4.69,8.43,3.05,0.55,1.95,0.39,16.35,120.34
2015,7,18,7.59,7.77,8.4,1.89,0.68,2.15,0.43,18.81,142.25
2015,7,19,6.07,3.25,7.64,3.64,0.54,1.77,0.35,15.77,119.3
2015,7,20,6.62,5.58,7.84,2.68,0.59,2.01,0.4,16.98,128.63
2015,7,21,5.06,3.43,7.9,2.66,0.45,1.7,0.34,13.78,100.73
2015,7,22,5.07,3.64,8.21,2.43,0.45,1.73,0.34,13.66,98.35
2015,7,23,6.46,6.85,8.38,1.78,0.59,1.95,0.39,16.34,121.64
2015,7,24,8.03,9.44,8.41,1.46,0.73,2.27,0.45,19.57,149.11
2015,7,25,5.47,4.54,8.27,2.43,0.49,1.84,0.37,14.64,106.6
2015,7,26,6.96,6.43,8.21,2.58,0.63,2.2,0.44,17.37,131.14
2015,7,27,8.14,10.77,8.37,1.02,0.74,-999,0.47,19.48,149.94
2015,7,28,8.35,11.3,8.38,0.77,0.77,2.45,0.48,19.88,153.04
2015,7,29,6.56,5.57,8.19,2.75,0.6,2.06,0.41,16.25,122.89
2015,7,30,5.81,4.11,7.61,2.77,0.53,1.89,0.38,14.63,111.38
2015,7,31,4.61,2.44,7.45,2.92,0.42,1.6,0.32,12.18,90.61
2015,8,1,6.87,6.83,7.76,1.99,0.63,2.22,0.44,17.09,130.76
2015,8,2,6.28,6.15,8.08,2.16,0.58,2.07,0.41,16,119.18
2015,8,3,7.48,7.48,8.13,2.22,0.7,2.3,0.45,18.4,139.6
2015,8,4,5.72,4.73,7.8,2.95,0.53,1.77,0.35,14.62,110.22
2015,8,5,6.77,6.37,7.94,2.35,0.63,2.07,0.41,16.77,126.88
2015,8,6,4.67,2.28,7.58,3.21,0.44,1.46,0.29,12.17,89.98
2015,8,7,6.17,5.55,7.76,2.3,0.58,1.9,0.38,15.66,117.26
2015,8,8,5.45,3.65,7.63,2.95,0.52,1.68,0.34,13.84,103.92
2015,8,9,5.81,4.61,7.64,2.6,0.55,1.78,0.35,14.69,110.86
2015,8,10,5.54,4.07,7.74,2.76,0.53,1.77,0.35,14.49,106.86
2015,8,11,6.5,6.79,7.81,2.01,0.62,1.91,0.38,16.27,122.68
2015,8,12,7.7,10.58,7.74,0.81,0.74,2.12,0.42,18.69,144.51
2015,8,13,7.06,7.73,7.73,1.96,0.68,2.12,0.42,17.55,133.45
2015,8,14,7.3,8.84,7.81,1.45,0.71,2.16,0.43,17.85,136.19
2015,8,15,7.38,8.49,7.64,1.66,0.72,2.16,0.43,17.62,136.65
2015,8,16,7.15,7.25,7.53,2.19,0.7,2.16,0.42,16.96,131.7
2015,8,17,5.85,4.5,7.52,2.84,0.57,-999,0.38,14.53,109.73
2015,8,18,5.48,4.34,7.46,2.52,0.54,1.89,0.38,13.96,103.92
2015,8,19,5.12,3.85,7.4,2.38,0.51,1.82,0.36,13.42,98.55
2015,8,20,4.76,3.32,7.3,2.38,0.48,1.68,0.33,12.58,91.89
2015,8,21,4.69,3.32,7.07,2.26,0.47,-999,0.31,11.99,89.77
2015,8,22,4.59,3.16,7.23,2.31,0.46,-999,0.31,12.24,89.59
2015,8,23,5.34,4.21,7.26,2.51,0.54,1.74,0.34,13.86,102.58
2015,8,24,6.53,7.4,7.27,1.58,0.66,2.03,0.4,16.19,123.08
2015,8,25,5.76,5.15,7.25,2.21,0.59,1.9,0.38,14.69,109.52
2015,8,26,6.47,6.1,7.11,2.49,0.66,2.02,0.4,15.99,122.66
2015,8,27,7.06,9.68,7.1,0.94,0.73,2.06,0.41,17.15,133.48
2015,8,28,6.04,4.85,7.01,2.75,0.62,1.98,0.39,15.37,115.92
2015,8,29,5.45,5.06,7.03,2.43,0.57,1.73,0.34,13.88,104.2
2015,8,30,6.82,7.89,7.12,1.64,0.71,1.84,0.37,16.38,126.68
2015,8,31,6.77,8.6,6.95,1.31,0.71,1.74,0.35,16.09,125.94
2015,9,1,5.75,5.5,6.91,2.35,0.61,1.59,0.32,14.23,108.7
2015,9,2,6.17,6.38,6.87,2.07,0.66,1.73,0.34,15.28,116.89
2015,9,3,6.91,9.42,7.02,1.1,0.74,1.78,0.36,16.3,127.28
2015,9,4,7.01,9.73,7.08,0.82,0.76,1.76,0.35,16.38,128.05
2015,9,5,6.96,9.94,7,0.95,0.76,1.7,0.34,15.98,126.05
2015,9,6,6.86,8.84,6.96,1.2,0.75,1.69,0.34,15.59,122.86
2015,9,7,6.88,10.02,6.88,0.74,0.76,1.78,0.36,15.83,124.55
2015,9,8,6.83,9.94,6.82,0.76,0.75,1.79,0.36,15.6,123.16
2015,9,9,6.29,7.7,6.49,1.58,0.7,1.69,0.34,14.65,116.25
2015,9,10,5.05,4.36,6.15,2.31,0.56,1.4,0.27,11.98,94.26
2015,9,11,4.79,3.94,5.88,2.24,0.54,1.32,0.26,11.19,89.23
2015,9,12,1.77,0.67,5.77,1.38,0.2,0.61,0.12,5.15,37.09
2015,9,13,3.68,1.81,5.63,2.5,0.42,1.12,0.22,9.1,70.4
2015,9,14,2.21,0.97,5.47,1.6,0.25,0.7,0.14,5.93,43.67
2015,9,15,5.87,6.57,6.33,1.72,0.68,1.51,0.3,13.92,108.5
2015,9,16,3.79,2.94,6.2,2.18,0.44,1.09,0.22,10.09,73.68
2015,9,17,5.29,5.42,6.33,2,0.62,1.43,0.28,12.93,98.77
2015,9,18,6.35,9.54,6.36,0.78,0.75,1.59,0.32,14.56,115.52
2015,9,19,6.33,9.72,6.31,0.72,0.75,1.6,0.32,14.47,114.95
2015,9,20,6.18,9.24,6.17,0.78,0.74,1.6,0.32,14.17,112.67
2015,9,21,5.95,9.04,6.05,0.84,0.72,-999,0.3,13.88,110.48
2015,9,22,3.9,3.44,6.13,1.87,0.48,1.18,0.23,10.08,74.01
2015,9,23,6.06,9.52,6.07,0.61,0.74,1.57,0.31,14.21,112.52
2015,9,24,5.6,6.43,5.96,1.66,0.7,1.48,0.3,13.12,103.01
2015,9,25,5.79,8.28,5.86,1,0.72,1.53,0.3,13.53,107.52
2015,9,26,5.55,7.62,5.8,1.18,0.7,1.57,0.31,13.27,104.3
2015,9,27,4.05,1.87,5.77,3.05,0.52,1.3,0.25,10.41,77.13
2015,9,28,3.78,2.96,5.66,2.09,0.48,1.21,0.23,9.62,71.65
2015,9,29,4.01,2.07,5.57,2.73,0.52,1.31,0.25,10.17,75.93
2015,9,30,1.98,0.83,5.46,1.56,0.26,0.79,0.15,5.93,40.88
2015,10,1,4.53,5.21,5.5,1.71,0.59,1.38,0.27,11.27,86.69
2015,10,2,5.48,8.65,5.51,0.82,0.72,1.34,0.27,12.66,101.66
2015,10,3,5.22,7.05,5.6,1.34,0.7,1.3,0.26,12.15,95.57
2015,10,4,5.31,8.51,5.29,0.76,0.71,1.16,0.23,12.21,98.64
2015,10,5,4.98,6.94,5.21,1.18,0.67,1.12,0.23,11.59,92.77
2015,10,6,4.51,5.2,5.11,1.66,0.62,1.09,0.22,10.63,84.41
2015,10,7,4.95,6.06,5.16,1.48,0.68,1.24,0.24,11.34,91.16
2015,10,8,4.75,5.81,5.09,1.7,0.66,1.29,0.25,10.84,87.3
2015,10,9,5.03,7.72,5.13,1.07,0.7,1.38,0.27,11.48,92.95
2015,10,10,4.47,5.82,5.09,1.56,0.63,1.34,0.26,10.74,84.39
2015,10,11,4.23,5.3,5.07,1.73,0.6,1.23,0.23,10.27,80.14
2015,10,12,4.95,8,5,0.91,0.71,1.27,0.25,11.29,91.25
2015,10,13,4.83,7.87,4.86,0.81,0.7,1.2,0.24,11.09,90.3
2015,10,14,3.68,3.68,4.6,1.82,0.54,0.96,0.19,8.8,69.44
2015,10,15,2.7,1.45,4.51,2,0.4,0.8,0.16,7.11,52.23
2015,10,16,4.12,5.21,4.59,1.42,0.62,1,0.2,9.98,79.23
2015,10,17,2.74,1.97,4.51,1.83,0.41,0.74,0.15,7.16,53.28
2015,10,18,4,4.95,4.67,1.6,0.61,0.88,0.18,9.58,75.45
2015,10,19,3.86,4.94,4.58,1.42,0.59,0.86,0.17,9.29,73.22
2015,10,20,4.68,8.49,4.65,0.58,0.73,0.92,0.19,10.43,85.8
2015,10,21,4.28,6.36,4.63,1.37,0.67,0.94,0.19,9.7,78.43
2015,10,22,4.23,5.92,4.49,1.28,0.67,0.93,0.19,9.58,77.8
2015,10,23,3.17,1.92,4.38,2.18,0.51,0.8,0.16,7.66,58.68
2015,10,24,3.45,1.75,4.26,2.53,0.55,0.86,0.16,7.89,62.84
2015,10,25,3.94,5.35,4.4,1.38,0.64,0.92,0.18,9.04,72.8
2015,10,26,3.78,4.21,4.44,1.71,0.62,0.87,0.17,8.69,69.05
2015,10,27,1.68,0.68,3.94,1.34,0.28,0.52,0.1,4.7,33.36
2015,10,28,2.74,2.37,4.14,1.73,0.46,0.68,0.13,6.87,52.32
2015,10,29,4.36,8.49,4.32,0.52,0.73,0.9,0.18,9.48,79.05
