-BEGIN HEADER-,,,,,,,,,,,Denver
2015,5,27,6.13,4.04,8.83,3.55,0.54,1.85,0.37,16.48,115.37
2015,5,28,5.75,3.38,8.86,3.39,0.51,1.79,0.36,15.49,107.8
2015,5,29,5.76,4.61,9,2.94,0.51,1.7,0.34,15.39,107.48
2015,5,30,8.12,9.28,9.02,1.82,0.71,2.27,0.45,20.59,147.2
2015,5,31,6.6,4.08,8.66,3.6,0.58,2.23,0.45,17.66,124.17
2015,6,1,6.86,6.13,8.84,2.7,0.6,2.33,0.47,18.23,129
2015,6,2,8.89,11.41,9.17,1.26,0.77,2.87,0.57,22.63,161.53
2015,6,3,7.39,5.82,9.11,3.53,0.64,2.4,0.48,18.98,134.73
2015,6,4,8.53,10.49,9.2,1.43,0.74,2.75,0.55,21.79,154.79
2015,6,5,4.11,2.07,8.71,2.68,0.36,1.57,0.31,11.97,81.05
2015,6,6,6.14,5.43,8.88,2.64,0.53,2.13,0.42,16.58,116.39
2015,6,7,7.22,7.51,9.1,2.4,0.62,2.46,0.49,18.76,132.98
2015,6,8,8.36,10.54,9.09,1.49,0.73,2.65,0.52,21.52,153.52
2015,6,9,7.42,6.92,9.01,2.91,0.64,2.57,0.52,19.43,137.45
2015,6,10,3.75,1.89,8.71,2.62,0.33,1.49,0.3,11.23,75.84
2015,6,11,4.59,2.52,8.84,2.85,0.4,1.92,0.38,13.32,90.55
2015,6,12,5.91,3.82,8.84,3.37,0.51,2.19,0.44,16.39,113.88
2015,6,13,6.71,6.82,9.08,2.25,0.58,2.33,0.46,17.76,124.85
2015,6,14,6,3.96,8.94,3.45,0.52,2.13,0.42,16.38,113.44
2015,6,15,5.82,4.72,8.84,2.74,0.5,2.16,0.43,15.77,110.51
2015,6,16,4.91,3.09,8.78,2.83,0.42,1.91,0.38,13.7,95.32
2015,6,17,7.51,7.71,9.01,2.26,0.65,2.7,0.53,19.72,139.63
2015,6,18,7.93,8.81,8.98,2.04,0.69,2.78,0.55,20.53,146.87
2015,6,19,8.82,11.64,9.11,1.11,0.76,3.16,0.62,22.52,161.52
2015,6,20,8.71,10.75,9.05,1.38,0.75,3.19,0.62,22.49,160.98
2015,6,21,7.9,7.06,9.12,3.65,0.68,2.8,0.55,20.48,146.27
2015,6,22,8.67,9.68,9.12,2.19,0.75,2.95,0.58,21.72,157.06
2015,6,23,7.82,8.22,8.86,1.95,0.67,2.9,0.56,20.27,144.88
2015,6,24,5.52,2.91,8.61,3.49,0.48,2.15,0.42,14.95,105.34
2015,6,25,6.59,4.86,8.65,2.92,0.57,2.55,0.5,17.67,124.65
2015,6,26,7.05,6.44,8.87,2.58,0.61,2.47,0.49,18.66,131.95
2015,6,27,8.02,8.98,9.07,1.62,0.7,2.8,0.55,20.77,147.41
2015,6,28,5.73,5.42,8.81,2.21,0.49,2.05,0.41,15.57,109.71
2015,6,29,7.5,7.46,8.82,2.38,0.65,2.77,0.55,19.84,140.74
2015,6,30,7.81,7.85,8.84,2.16,0.68,2.88,0.56,20.66,146.57
2015,7,1,5.49,4.46,8.7,2.28,0.48,2.05,0.41,15.09,105.62
2015,7,2,5.51,2.96,8.72,3.39,0.48,2.15,0.43,15.34,106.07
2015,7,3,7.52,7.21,8.69,2.31,0.66,2.74,0.54,19.64,140.28
2015,7,4,6.69,6.01,8.66,2.5,0.59,2.47,0.48,17.98,126.85
2015,7,5,4.74,2.5,8.55,3.11,0.41,1.81,0.36,13.38,93.16
2015,7,6,3.22,1.24,8.59,2.36,0.28,1.37,0.27,9.91,65.88
2015,7,7,3.61,1.33,8.35,2.64,0.31,1.44,0.29,10.6,72
2015,7,8,3.73,1.52,8.67,2.66,0.33,1.55,0.31,11.31,75.22
2015,7,9,6.48,5.26,8.75,2.71,0.57,2.36,0.47,17.47,122.1
2015,7,10,7.35,7.01,8.85,2.93,0.65,2.54,0.51,19.28,136.97
2015,7,11,7.27,7.88,8.92,2.21,0.64,2.58,0.51,19.2,135.58
2015,7,12,7.95,7.19,8.87,2.92,0.7,3.12,0.6,20.88,147.76
2015,7,13,4.38,1.57,8.48,3.17,0.38,1.99,0.39,12.77,86.58
2015,7,14,4.7,2.76,8.51,2.76,0.41,1.86,0.37,13.02,91.06
2015,7,15,6.58,5.55,8.63,2.88,0.59,2.41,0.48,17.63,124.17
2015,7,16,7.16,7.7,8.81,2.39,0.63,2.42,0.48,18.7,132.89
2015,7,17,7.27,8.43,8.78,2.17,0.65,2.38,0.48,18.88,135.16
2015,7,18,5.85,4.86,8.61,2.73,0.52,2.1,0.42,15.98,111.74
2015,7,19,4.74,2.76,8.42,3.07,0.42,1.86,0.37,13.46,92.78
2015,7,20,5.02,3.11,8.59,2.86,0.45,2.05,0.41,14.11,96.98
2015,7,21,5.81,4.64,8.41,2.97,0.52,2.16,0.43,15.73,111.43
2015,7,22,6.99,7.9,8.63,2.12,0.63,2.5,0.49,18.45,131.05
2015,7,23,7.26,8.61,8.7,1.98,0.66,2.59,0.52,19.03,135.24
2015,7,24,3.58,1.62,8.39,2.58,0.32,1.52,0.3,10.73,72.38
2015,7,25,7.98,10.5,8.64,1.25,0.73,2.91,0.57,20.58,147.56
2015,7,26,6.69,6.92,8.43,2.85,0.61,2.44,0.48,17.78,126.95
2015,7,27,6.83,6.42,8.51,2.94,0.62,2.49,0.5,18.27,129.14
2015,7,28,8.21,10.81,8.63,1.01,0.75,2.8,0.55,20.8,149.41
2015,7,29,7.38,8.64,8.45,1.45,0.68,2.66,0.52,19.27,137.41
2015,7,30,7.56,9.2,8.37,1.57,0.7,2.71,0.53,19.48,140.09
2015,7,31,6.08,6.22,8.3,2.24,0.56,2.23,0.44,16.16,114.56
2015,8,1,6.56,6.36,8.2,2.22,0.61,2.38,0.47,17.29,122.48
2015,8,2,4.21,2,8.08,2.76,0.39,1.62,0.32,12.03,82.33
2015,8,3,3.81,1.94,8.11,2.61,0.35,1.52,0.3,11.05,75.23
2015,8,4,7.3,8.33,8.23,1.92,0.69,2.49,0.49,18.8,135.1
2015,8,5,6.98,8.03,8.24,2.02,0.66,2.4,0.48,18.23,130.17
2015,8,6,6.91,5.29,8.3,3.19,0.66,2.55,0.51,18.28,128.85
2015,8,7,5.12,2.81,7.99,3.41,0.48,1.95,0.39,13.95,97.24
2015,8,8,5.69,3.32,7.96,3.55,0.54,2.21,0.44,15.45,107.97
2015,8,9,7.13,8.69,8.12,1.5,0.68,2.46,0.48,18.35,131.32
2015,8,10,5.22,4.22,7.85,2.66,0.5,1.94,0.38,14.19,99.92
2015,8,11,4.43,2.91,7.72,2.39,0.43,1.68,0.33,12.23,85.76
2015,8,12,6.05,6.68,7.84,1.92,0.59,2.15,0.43,16.17,114.56
2015,8,13,5.81,5.61,7.74,2.23,0.56,2.16,0.43,15.73,110.9
2015,8,14,5.65,6.21,7.75,1.68,0.55,2.07,0.41,15.02,106.83
2015,8,15,6.04,5.93,7.67,2.16,0.59,2.13,0.42,15.84,113.15
2015,8,16,5.15,3.62,7.73,2.74,0.51,1.95,0.38,14.15,98.27
2015,8,17,5,3.66,7.56,2.74,0.49,1.8,0.36,13.24,94.56
2015,8,18,6.93,7.13,7.66,2.32,0.69,2.31,0.45,17.33,125.77
2015,8,19,7.39,9.29,7.85,1.48,0.74,2.21,0.44,18.27,132.58
2015,8,20,7.23,8.49,7.46,1.73,0.73,2.05,0.41,17.35,129.07
2015,8,21,6.81,7.48,7.26,1.86,0.69,1.89,0.38,16.16,121.15
2015,8,22,6.06,6.14,7.32,2.28,0.62,1.87,0.38,15.37,111.72
2015,8,23,6.62,6.95,7.28,1.99,0.68,2.13,0.42,16.4,120.36
2015,8,24,6.34,6.38,7.04,2.05,0.65,2.01,0.4,15.46,114.71
2015,8,25,5.74,5.52,7.14,2.29,0.59,1.95,0.38,14.61,106.27
2015,8,26,5.02,2.4,7.15,3.39,0.52,1.86,0.37,13.53,95.62
2015,8,27,4.06,2.07,7.12,2.73,0.42,1.59,0.31,11.49,78.98
2015,8,28,5.8,6.37,6.98,1.94,0.61,1.85,0.37,14.41,106.45
2015,8,29,6.31,6.55,6.85,2.02,0.66,1.88,0.38,15.15,113.41
2015,8,30,5.85,6.58,7.1,1.7,0.62,1.93,0.38,14.94,107.74
2015,8,31,3.61,1.46,7.07,2.64,0.38,1.45,0.28,10.46,71.02
2015,9,1,5.55,6.29,7.17,1.87,0.59,1.91,0.38,14.52,103.28
2015,9,2,5.46,4.28,7.08,2.75,0.59,1.95,0.38,14.49,102.52
2015,9,3,3.07,1.24,6.59,2.28,0.34,1.27,0.25,8.9,60.64
2015,9,4,3.82,2.16,6.86,2.68,0.42,1.47,0.28,10.62,73.65
2015,9,5,5.15,3.52,6.87,3.02,0.57,1.88,0.36,13.63,96.55
2015,9,6,5.64,5.47,7.05,2.31,0.62,1.94,0.38,14.52,103.09
2015,9,7,4.45,2.6,6.85,2.92,0.5,1.58,0.3,12.2,84.58
2015,9,8,6.87,10.16,6.94,0.94,0.77,2,0.4,16.7,123.22
2015,9,9,6.81,10.22,6.94,0.81,0.77,1.9,0.38,16.53,122.04
2015,9,10,6.89,10.78,6.92,0.63,0.79,1.97,0.39,16.79,123.95
2015,9,11,6.61,9.83,6.77,0.89,0.76,1.83,0.37,16.27,119.64
2015,9,12,6.8,10.69,6.79,0.65,0.79,1.84,0.37,16.48,121.9
2015,9,13,6.38,7.77,6.72,1.96,0.74,1.77,0.35,15.54,114.41
2015,9,14,4.41,3.39,6.27,2.42,0.52,1.27,0.25,11.39,82.01
2015,9,15,5.15,5.64,6.47,1.8,0.61,1.55,0.3,13.42,95.87
2015,9,16,5.74,8.48,6.55,1.2,0.69,1.67,0.33,14.41,105.13
2015,9,17,5.8,8.34,6.53,1.08,0.7,1.76,0.35,14.59,105.76
2015,9,18,5.63,7.6,6.52,1.21,0.68,1.71,0.34,14.02,101.72
2015,9,19,6.2,9.46,6.44,0.89,0.76,1.75,0.35,14.99,110.8
2015,9,20,6.41,10.02,6.47,0.74,0.79,1.77,0.35,15.47,114.41
2015,9,21,6.14,8.68,6.32,1.1,0.76,1.84,0.37,15,110.45
2015,9,22,3.95,1.87,6.1,2.89,0.49,1.38,0.27,10.43,73.49
2015,9,23,5,6.48,5.99,1.42,0.63,1.52,0.3,12.52,91.89
2015,9,24,5.9,9.21,6.12,1.02,0.75,1.73,0.34,14.39,106.63
2015,9,25,5.95,9.77,6.05,0.74,0.77,1.79,0.35,14.39,107.33
2015,9,26,6,10.09,5.99,0.61,0.77,1.74,0.34,14.43,108.05
2015,9,27,5.73,9.1,5.87,0.77,0.75,1.77,0.35,14.08,104.62
2015,9,28,4.15,2.2,5.77,2.87,0.55,1.52,0.28,10.95,77.4
2015,9,29,4.36,3.78,5.67,2.11,0.58,1.5,0.29,11.25,81.06
2015,9,30,2.91,1.33,5.54,2.19,0.39,1.09,0.21,8.16,55.91
2015,10,1,3.67,1.67,5.5,2.74,0.49,1.39,0.26,9.86,69.08
2015,10,2,4.28,4.95,5.51,1.71,0.59,1.38,0.27,10.83,78.96
2015,10,3,4.35,5.47,5.64,1.62,0.6,1.27,0.25,10.94,79.02
2015,10,4,3.71,3.64,5.42,1.85,0.52,1.07,0.21,9.5,68.05
2015,10,5,4.14,4.83,5.39,1.6,0.58,1.16,0.23,10.49,76.27
2015,10,6,3.14,2.75,5.35,1.74,0.45,0.95,0.19,8.39,59.16
2015,10,7,4.5,5.87,5.29,1.47,0.64,1.23,0.24,11.21,82.66
2015,10,8,5.1,7.89,5.36,1.01,0.73,1.3,0.27,12.32,91.95
2015,10,9,4.74,6.19,5.2,1.64,0.69,1.3,0.26,11.66,86.73
2015,10,10,5.16,8.06,5.26,1.1,0.76,1.34,0.27,12.26,92.52
2015,10,11,4.9,7.91,5.19,1,0.73,1.3,0.26,11.94,89
2015,10,12,5.18,10.04,5.28,0.55,0.77,-999,0.27,12.19,92
2015,10,13,5.2,10.2,5.17,0.47,0.79,1.34,0.27,12.22,92.8
2015,10,14,5.14,10.1,5.1,0.47,0.79,1.29,0.26,12.02,91.54
2015,10,15,4.94,8.04,5.03,1.01,0.77,1.22,0.24,11.59,87.87
2015,10,16,4.81,8.34,4.86,0.75,0.75,1.18,0.23,11.42,86.68
2015,10,17,4.29,6.62,4.72,1,0.68,1.04,0.21,10.23,77.43
2015,10,18,3.27,2.59,4.57,1.98,0.52,0.92,0.18,8.34,60.55
2015,10,19,2.34,1.1,4.66,1.87,0.38,0.73,0.14,6.6,44.92
2015,10,20,2.56,1.1,4.68,2.01,0.41,0.79,0.16,6.97,47.9
2015,10,21,1.17,0.56,4.44,0.92,0.2,0.4,0.08,3.69,23.71
2015,10,22,1.06,0.5,4.56,0.84,0.17,0.35,0.07,3.37,21.51
2015,10,23,2.36,1.72,4.55,1.55,0.4,0.64,0.12,6.41,44.28
2015,10,24,4.11,7.3,4.56,1.07,0.7,0.92,0.19,9.63,73.15
2015,10,25,4.02,5.23,4.48,1.54,0.69,1.02,0.2,9.63,72.09
2015,10,26,2.26,1.03,4.27,1.79,0.39,0.71,0.14,6.23,42.81
2015,10,27,2.81,4.24,4.44,1.05,0.49,0.64,0.12,6.93,50.79
2015,10,28,3.27,3.77,4.51,1.63,0.58,0.68,0.14,7.99,57.82
2015,10,29,2.9,1.68,4.21,2.14,0.52,0.76,0.15,7.48,53.28
