-BEGIN HEADER-,,,,,,,,,,,Los Angeles
2015,5,27,7.86,9.63,8.62,1.19,0.7,2.16,0.43,18.79,142.87
2015,5,28,8.19,9.72,8.68,1.55,0.72,2.22,0.45,19.48,148.41
2015,5,29,8.22,8.92,8.77,1.76,0.73,2.4,0.48,19.7,148.7
2015,5,30,8.21,8.83,8.75,2.26,0.72,2.41,0.48,19.42,148.18
2015,5,31,8.19,10.31,8.73,1.13,0.72,2.48,0.49,19.94,150.55
2015,6,1,8.18,9.69,8.84,1.63,0.72,2.42,0.48,19.76,149.08
2015,6,2,8.79,11.57,8.88,0.93,0.77,2.5,0.5,20.98,159.23
2015,6,3,6.28,7.59,8.82,1.51,0.55,1.85,0.37,15.55,116.26
2015,6,4,5.98,4.78,8.77,2.63,0.52,1.78,0.36,15.23,111.34
2015,6,5,7.94,8.82,8.63,1.65,0.7,2.11,0.42,19.25,145.73
2015,6,6,7.74,8.78,8.5,1.57,0.67,2.12,0.42,18.77,143.13
2015,6,7,8.56,10.59,8.66,1.24,0.74,2.32,0.46,20.09,154.74
2015,6,8,8.67,11.21,8.76,0.98,0.76,2.59,0.52,20.9,158.86
2015,6,9,2.12,0.78,8.11,1.56,0.19,0.98,0.2,6.88,46.58
2015,6,10,6.73,7,8.37,1.96,0.59,2.19,0.43,17.15,129.12
2015,6,11,7.52,8.76,8.54,1.49,0.66,2.42,0.48,19.01,142.58
2015,6,12,6.54,6.06,8.43,2.34,0.57,2.23,0.44,16.84,125.34
2015,6,13,6.68,7.41,8.47,1.62,0.58,2.16,0.42,16.98,127.77
2015,6,14,8.02,9.91,8.73,1.14,0.7,2.61,0.51,19.9,149.61
2015,6,15,8.74,11.45,9.08,0.97,0.76,2.88,0.56,21.19,158.97
2015,6,16,8.85,11.7,9.16,1.16,0.77,2.8,0.55,21.12,159.48
2015,6,17,8.94,11.92,9.19,0.98,0.77,2.87,0.56,21.27,160.37
2015,6,18,8.88,11.83,9.05,0.93,0.77,3,0.58,21.34,161.07
2015,6,19,8.96,12.05,9.06,0.83,0.78,3.09,0.59,21.65,163.09
2015,6,20,8.98,12.15,9.07,0.79,0.78,3.08,0.59,21.6,162.95
2015,6,21,8.66,11.34,8.76,0.95,0.75,2.98,0.58,21.31,161.2
2015,6,22,8.9,11.78,9.02,0.9,0.77,2.95,0.57,21.36,161.52
2015,6,23,8.73,11.24,8.84,0.93,0.76,2.86,0.55,21.02,159.46
2015,6,24,8.64,11.36,8.72,0.86,0.75,2.87,0.55,21.07,160.05
2015,6,25,8.76,11.48,8.83,0.93,0.76,2.84,0.55,21.09,160.35
2015,6,26,8.02,8.05,8.57,2.23,0.7,2.62,0.51,19.26,147.02
2015,6,27,5.61,4.33,8.46,2.79,0.48,2.05,0.41,14.72,108.76
2015,6,28,6.33,3.41,8.07,3.69,0.55,2.28,0.45,16.12,121.55
2015,6,29,6.74,4.68,8.19,3.24,0.59,2.48,0.48,17.65,131.38
2015,6,30,7.52,7.28,8.3,1.88,0.66,2.56,0.5,19.14,143.44
2015,7,1,4.55,1.77,8.18,3.29,0.4,1.64,0.33,12.73,91.38
2015,7,2,7.41,7.37,8.17,1.93,0.65,2.53,0.49,18.8,141.97
2015,7,3,8.24,9.84,8.5,1.33,0.72,2.72,0.53,20.4,154.48
2015,7,4,8.4,10.44,8.51,1.13,0.73,2.76,0.54,20.72,157.07
2015,7,5,7.96,9.84,8.57,1.12,0.7,2.63,0.52,19.78,149.06
2015,7,6,8.01,9.7,8.64,1.23,0.7,2.56,0.5,19.51,147.59
2015,7,7,7.97,9.74,8.59,1.18,0.7,2.56,0.5,19.42,147.29
2015,7,8,6.84,7.67,8.56,1.61,0.6,2.24,0.45,17.39,129.3
2015,7,9,6.02,5.96,8.51,1.84,0.53,1.97,0.39,15.43,113.59
2015,7,10,8.3,10.39,8.48,1.19,0.73,2.48,0.49,20.45,155.03
2015,7,11,8.24,9.87,8.47,1.46,0.73,2.45,0.48,20.16,153.25
2015,7,12,8.54,11.27,8.61,0.87,0.75,2.5,0.49,20.47,156.24
2015,7,13,8.33,10.66,8.45,0.98,0.73,2.52,0.5,20.15,153.88
2015,7,14,8.5,11.25,8.55,0.83,0.75,2.6,0.51,20.6,156.66
2015,7,15,8.29,10.63,8.5,0.95,0.73,2.42,0.48,20.12,152.84
2015,7,16,8.31,10.64,8.56,1.01,0.73,-999,0.48,19.97,151.78
2015,7,17,8.62,11.36,8.7,0.89,0.77,2.7,0.53,20.77,156.99
2015,7,18,3.09,2.01,8.01,1.9,0.27,1.2,0.24,8.95,63.77
2015,7,19,6.01,4.46,7.86,2.52,0.54,2.2,0.44,15.86,116.91
2015,7,20,5.27,3.19,7.88,3.12,0.47,1.91,0.38,14,103.26
2015,7,21,7.26,7.86,8.24,1.91,0.65,2.47,0.48,18.27,137.24
2015,7,22,6.5,6.95,8.27,1.84,0.59,2.21,0.44,16.66,123.77
2015,7,23,7.57,9.18,8.19,1.21,0.68,2.58,0.51,19.16,143.93
2015,7,24,8.3,11.11,8.37,0.85,0.75,2.83,0.55,20.5,155.09
2015,7,25,8.44,11.58,8.49,0.74,0.77,2.77,0.54,20.49,155.37
2015,7,26,8.46,11.66,8.51,0.73,0.77,2.77,0.54,20.43,154.95
2015,7,27,8.28,10.86,8.39,0.91,0.75,2.74,0.53,20.17,152.67
2015,7,28,8.3,11.08,8.38,0.85,0.76,2.65,0.52,19.95,151.88
2015,7,29,7.63,9.27,8.07,1.26,0.7,2.48,0.48,18.72,142.48
2015,7,30,5.82,4.89,7.7,2.54,0.53,2.12,0.41,15.27,113.78
2015,7,31,7.42,8.69,7.86,1.44,0.68,2.47,0.48,18.57,141.23
2015,8,1,7.98,9.88,8.15,1.19,0.73,2.59,0.51,19.38,147.06
2015,8,2,8.11,10.45,8.24,1.03,0.75,2.61,0.51,19.8,149.77
2015,8,3,7.92,9.52,8.19,1.79,0.73,2.51,0.5,19.44,147.36
2015,8,4,7.93,10.23,8.06,1.21,0.73,2.62,0.52,19.65,148.86
2015,8,5,7.54,7.09,8.13,2.89,0.7,2.54,0.5,18.62,140.45
2015,8,6,5.16,2.4,7.88,3.67,0.48,1.78,0.35,13.45,99.19
2015,8,7,8.05,10.43,8.19,1.03,0.75,2.56,0.5,19.24,146.16
2015,8,8,7.85,10.04,8.11,1.09,0.73,-999,0.47,18.81,143.29
2015,8,9,8.06,10.99,8.17,0.88,0.76,2.5,0.49,19.3,146.73
2015,8,10,7.77,10.37,8.22,0.94,0.73,2.48,0.48,18.55,140.66
2015,8,11,8.01,10.99,8.17,0.82,0.76,2.55,0.5,19.27,145.91
2015,8,12,8.13,11.12,8.16,0.88,0.77,2.55,0.5,19.17,146.36
2015,8,13,7.23,8.01,7.62,2.13,0.69,2.39,0.47,17.88,136.78
2015,8,14,7.68,10.09,7.7,1,0.73,2.5,0.49,18.93,144.35
2015,8,15,7.77,10.73,7.79,0.8,0.75,2.54,0.5,19.12,145.45
2015,8,16,7.62,10.25,7.71,0.96,0.73,2.52,0.49,18.84,143.23
2015,8,17,7.58,10.17,7.64,0.93,0.73,2.45,0.48,18.55,141.67
2015,8,18,7.38,9.21,7.49,1.21,0.72,2.38,0.46,17.73,136.63
2015,8,19,7.2,8.45,7.37,1.42,0.7,2.22,0.43,16.77,130.99
2015,8,20,6.97,8.46,7.45,1.35,0.68,2.2,0.43,16.95,129.85
2015,8,21,6.85,8.32,7.49,1.39,0.67,2.18,0.43,16.75,127.73
2015,8,22,7.23,9.3,7.48,1.09,0.72,2.34,0.45,17.45,133.59
2015,8,23,7.53,10.21,7.56,0.97,0.75,2.41,0.47,18.14,138.93
2015,8,24,7.65,10.53,7.67,0.89,0.77,2.38,0.47,18.05,138.38
2015,8,25,4.45,2.36,7.15,2.98,0.45,1.52,0.3,11.57,85.31
2015,8,26,7.04,8.53,7.19,1.34,0.71,2.2,0.43,16.98,130.76
2015,8,27,7.18,9.59,7.22,1,0.73,2.21,0.44,17.48,134.54
2015,8,28,7.12,9.5,7.14,1.04,0.72,2.21,0.44,17.22,133.09
2015,8,29,7.31,10.39,7.3,0.76,0.74,2.37,0.46,17.81,136.39
2015,8,30,7.16,9.72,7.31,0.91,0.73,2.26,0.45,17.47,132.97
2015,8,31,7.29,10.27,7.33,0.82,0.75,2.11,0.41,17.42,133.72
2015,9,1,6.81,7.23,7.33,1.99,0.7,2.05,0.41,16.55,125.17
2015,9,2,6.99,8.96,7.31,1.22,0.73,2.08,0.41,16.75,127.54
2015,9,3,6.85,9.37,7.33,0.92,0.72,2.02,0.4,16.52,125.44
2015,9,4,6.67,8.66,7.21,1.16,0.7,1.98,0.39,16.31,123.42
2015,9,5,7.18,10.47,7.18,0.7,0.76,1.99,0.4,17.1,131.57
2015,9,6,7.1,10.04,7.11,0.88,0.76,1.95,0.39,16.77,129.39
2015,9,7,6.91,9.82,6.92,0.8,0.74,2.01,0.4,16.77,129.09
2015,9,8,6.55,8.8,6.69,1.03,0.7,1.93,0.38,15.95,123.45
2015,9,9,5.32,6.1,6.51,1.48,0.58,1.68,0.33,13.37,102.15
2015,9,10,5,4.32,6.5,2.3,0.55,1.66,0.33,12.73,95.63
2015,9,11,6.12,7.64,6.36,1.3,0.67,1.88,0.37,14.85,115.9
2015,9,12,4.46,2.66,6.37,2.64,0.49,1.54,0.3,11.73,86.85
2015,9,13,6.58,9.47,6.58,0.83,0.73,1.98,0.39,15.98,123.55
2015,9,14,4.9,4.99,6.49,1.78,0.55,1.6,0.32,12.62,93.71
2015,9,15,4.42,4.18,6.43,1.9,0.49,1.42,0.28,11.48,84.57
2015,9,16,5.63,6.92,6.64,1.56,0.63,1.7,0.34,13.96,105.19
2015,9,17,6.71,10.3,6.71,0.64,0.76,1.88,0.38,15.94,123.07
2015,9,18,6.78,10.49,6.77,0.62,0.77,1.95,0.38,15.78,122.12
2015,9,19,6.54,9.87,6.55,0.69,0.75,1.93,0.38,15.45,119.89
2015,9,20,6.17,8.84,6.2,0.79,0.71,1.88,0.37,15.02,116.67
2015,9,21,5.79,6.43,6.27,1.78,0.67,1.77,0.34,13.91,107.16
2015,9,22,6.11,9.07,6.1,0.76,0.72,1.72,0.34,14.57,114.39
2015,9,23,6.32,9.55,6.3,0.73,0.74,1.67,0.34,14.48,114.02
2015,9,24,6.16,9.28,6.15,0.74,0.73,1.71,0.34,14.51,113.75
2015,9,25,6.06,8.98,6.09,0.87,0.73,1.74,0.34,14.4,112.63
2015,9,26,6.03,8.94,6.07,0.88,0.73,1.71,0.34,14.27,111.52
2015,9,27,5.75,6.91,6.11,1.55,0.7,1.73,0.34,13.7,105.54
2015,9,28,5.7,6.59,6.09,1.87,0.7,1.73,0.34,13.41,104.13
2015,9,29,6.09,9.53,6.08,0.7,0.75,1.75,0.34,14.14,110.88
2015,9,30,5.94,9.32,5.96,0.69,0.73,1.76,0.34,14.09,110.05
2015,10,1,5.6,8.61,5.9,0.85,0.7,1.63,0.32,13.44,104.56
2015,10,2,5.91,9.55,6,0.66,0.74,1.52,0.3,13.76,107.71
2015,10,3,5.86,9.34,5.85,0.69,0.74,1.55,0.31,13.71,107.52
2015,10,4,3.09,2.3,5.54,1.77,0.4,0.94,0.19,8.02,58.42
2015,10,5,3.82,4.16,5.52,1.59,0.49,0.88,0.18,9.32,71.12
2015,10,6,5.41,7.93,5.55,1.06,0.7,1.25,0.25,12.78,100.55
2015,10,7,5.57,8.82,5.58,0.78,0.73,1.41,0.28,13.17,103.6
2015,10,8,5.38,7.47,5.5,1.11,0.71,1.5,0.3,12.81,100.07
2015,10,9,5.55,8.99,5.54,0.72,0.73,1.55,0.3,12.97,102.3
2015,10,10,5.48,9.03,5.45,0.67,0.73,1.53,0.3,12.93,101.92
2015,10,11,5.46,9.13,5.43,0.62,0.73,1.39,0.28,12.73,100.73
2015,10,12,5.15,7.65,5.22,0.9,0.7,1.31,0.27,12.08,95.7
2015,10,13,5.05,7.9,5.06,0.8,0.7,1.27,0.25,11.94,95.29
2015,10,14,3.6,1.67,5,2.68,0.5,1.05,0.2,9.35,69.59
2015,10,15,3.56,3.26,4.99,1.75,0.5,1.04,0.2,9.09,68.26
2015,10,16,3.38,3.83,5.02,1.39,0.48,0.95,0.19,8.51,64.54
2015,10,17,4.32,5.63,4.94,1.46,0.61,1.06,0.21,10.16,80.32
2015,10,18,3.4,3.54,4.8,1.45,0.48,0.84,0.16,8.15,62.66
2015,10,19,3.89,3.92,4.96,1.86,0.56,0.91,0.18,9.31,71.66
2015,10,20,4.81,8.04,5.06,0.77,0.7,1.03,0.21,11.07,87.91
2015,10,21,4.89,8.23,5.06,0.77,0.72,1.03,0.21,10.99,87.98
2015,10,22,4.95,8.61,4.95,0.66,0.73,1.04,0.21,11.12,89.52
2015,10,23,4.78,7.41,4.92,1.15,0.71,1.09,0.22,10.7,85.86
2015,10,24,4.62,5.88,4.92,1.68,0.7,1.16,0.23,10.48,83.16
2015,10,25,3,1.37,4.74,2.37,0.45,0.95,0.18,7.64,56.38
2015,10,26,4.91,8.94,4.9,0.61,0.75,1.11,0.23,10.84,87.58
2015,10,27,3.16,1.4,4.75,2.46,0.48,0.88,0.17,7.81,57.99
2015,10,28,3.2,2.89,4.44,1.85,0.5,0.85,0.16,7.73,59.48
