-BEGIN HEADER-,,,,,,,,,,,Phoenix
2015,5,27,6.69,3.63,8.95,4.02,0.59,2.01,0.4,16.7,122.05
2015,5,28,8.88,11.77,8.96,0.88,0.78,2.33,0.47,21.03,159.73
2015,5,29,8.87,11.87,8.93,0.86,0.78,2.47,0.49,20.92,159.5
2015,5,30,8.73,11.11,8.8,1.06,0.77,2.5,0.49,20.67,158.13
2015,5,31,8.47,10.68,8.64,1.14,0.74,-999,0.51,20.61,156.66
2015,6,1,8.78,11.7,8.86,0.82,0.77,2.59,0.52,21.25,161.04
2015,6,2,8.94,12.13,9.03,0.8,0.78,2.69,0.53,21.35,161.66
2015,6,3,8.87,11.97,9.03,0.89,0.77,-999,0.53,21.12,160.24
2015,6,4,6.52,5.58,8.91,3.16,0.57,1.99,0.4,16.06,118.96
2015,6,5,5.43,3.52,8.45,2.86,0.48,1.88,0.38,14.69,106.2
2015,6,6,8.66,10.94,8.91,1.17,0.76,2.64,0.52,21.01,158.44
2015,6,7,8.84,12.02,8.9,0.78,0.77,2.66,0.52,21.42,162.5
2015,6,8,6.84,4.25,8.51,3.82,0.59,2.36,0.47,17.6,130.42
2015,6,9,3.13,1.45,8.04,2.2,0.27,1.34,0.27,9.35,64.92
2015,6,10,6.65,6.2,8.45,2.5,0.58,2.52,0.49,17.77,130.33
2015,6,11,8.49,10.82,8.62,1.14,0.74,2.84,0.55,21.07,159.91
2015,6,12,8.63,11.24,8.68,0.94,0.75,2.8,0.55,21.11,160.67
2015,6,13,8.43,10.45,8.64,1.22,0.73,2.69,0.52,20.53,156.64
2015,6,14,8.45,10.73,8.51,1.04,0.73,2.71,0.53,20.82,158.94
2015,6,15,8.48,10.84,8.55,1.02,0.73,2.76,0.54,20.87,159.2
2015,6,16,8.67,11.35,8.73,0.9,0.76,2.88,0.56,21.22,161.41
2015,6,17,8.62,11,8.73,1.03,0.75,2.84,0.55,21.25,160.95
2015,6,18,8.69,11.39,8.76,0.92,0.76,2.9,0.56,21.43,162.18
2015,6,19,8.72,11.3,8.88,1.06,0.76,-999,0.55,20.85,159.01
2015,6,20,8.65,11.32,8.85,1.05,0.75,-999,0.54,20.76,158.53
2015,6,21,8.6,11.26,8.67,0.93,0.75,2.98,0.58,21.4,162.02
2015,6,22,8.51,10.7,8.58,1.13,0.74,2.9,0.56,20.88,159.3
2015,6,23,8.26,9.5,8.47,1.64,0.72,2.8,0.55,20.23,154.95
2015,6,24,8.2,9.14,8.5,1.64,0.71,2.78,0.54,20.09,153.2
2015,6,25,7.67,7.8,8.46,2.08,0.66,2.69,0.52,19.33,145.68
2015,6,26,8.22,10.02,8.31,1.23,0.72,2.88,0.56,20.83,158.39
2015,6,27,6.81,5.96,8.16,2.72,0.59,2.5,0.49,17.62,132.67
2015,6,28,7.87,8.65,8.15,1.52,0.69,2.84,0.55,20.13,152.85
2015,6,29,8.03,9.07,8.22,1.37,0.7,2.76,0.54,20.52,155.53
2015,6,30,7.8,8.18,8.14,1.62,0.68,2.66,0.52,20.1,151.78
2015,7,1,7.33,6.65,8.1,2.48,0.64,2.58,0.51,19.11,144.01
2015,7,2,8.21,9.73,8.37,1.21,0.72,2.86,0.55,20.88,157.88
2015,7,3,4.05,2.5,8.13,2.61,0.35,1.56,0.31,11.64,82.98
2015,7,4,5.51,3.18,7.99,3.47,0.48,1.96,0.39,14.73,109.3
2015,7,5,6.55,5.51,8.06,2.73,0.57,2.29,0.45,17.09,128.45
2015,7,6,7.89,9.13,8.27,1.3,0.7,2.74,0.54,20.26,152.82
2015,7,7,8.25,10.44,8.37,1.08,0.73,2.8,0.55,20.92,158.39
2015,7,8,8.3,10.12,8.71,1.44,0.73,2.72,0.53,20.54,154.66
2015,7,9,7.69,7.99,8.63,1.89,0.68,2.59,0.51,19.62,145.4
2015,7,10,8.26,10.2,8.55,1.33,0.73,2.64,0.52,20.71,156.16
2015,7,11,7.98,8.67,8.56,2.48,0.7,2.55,0.51,19.71,149.65
2015,7,12,7.3,5.98,8.32,3.49,0.64,2.61,0.52,18.76,140.95
2015,7,13,7.72,7.21,8.2,2.49,0.68,2.7,0.53,19.8,149.18
2015,7,14,7.95,8.91,8.2,1.53,0.7,2.72,0.53,20.15,152.64
2015,7,15,8.1,9.84,8.24,1.25,0.72,2.66,0.52,20.64,156.09
2015,7,16,8.21,10.34,8.25,1.08,0.73,2.59,0.52,20.85,157.93
2015,7,17,7.27,7.48,8.09,1.8,0.65,2.49,0.49,18.92,141.71
2015,7,18,5.45,2.81,7.81,3.19,0.48,2.1,0.41,14.77,108.55
2015,7,19,6.89,6.23,7.8,2.35,0.62,2.52,0.49,18.21,136.63
2015,7,20,7.58,7.77,8.11,1.97,0.68,2.76,0.54,19.69,147.52
2015,7,21,8.07,9.97,8.3,1.36,0.73,2.83,0.55,20.49,154.43
2015,7,22,8.32,10.9,8.37,0.95,0.75,2.85,0.55,20.89,157.75
2015,7,23,8.17,10.14,8.3,1.19,0.73,2.82,0.55,20.55,155.23
2015,7,24,7.5,7.53,8.1,2.35,0.68,2.56,0.51,19.16,144.36
2015,7,25,8.11,9.75,8.33,1.42,0.73,2.7,0.53,20.11,152.28
2015,7,26,7.58,7.03,8.35,2.54,0.69,2.65,0.52,19.22,143.28
2015,7,27,8.22,10.71,8.27,0.99,0.75,2.8,0.55,20.64,156.06
2015,7,28,7.44,7.33,7.97,2.06,0.68,2.66,0.52,19.41,145.03
2015,7,29,4.49,2.35,7.69,2.95,0.41,1.75,0.35,12.7,91.54
2015,7,30,7.3,8.07,7.82,1.59,0.66,2.61,0.51,18.98,142.78
2015,7,31,6.08,5.19,7.61,2.41,0.55,2.16,0.43,15.8,118.85
2015,8,1,6.49,6.18,7.61,2.14,0.59,2.34,0.46,17.02,127.55
2015,8,2,7.84,9.95,7.94,1.11,0.72,2.67,0.52,19.91,150.98
2015,8,3,7.93,10.18,7.97,1.03,0.73,2.62,0.52,19.88,151.3
2015,8,4,8.06,10.55,8.09,0.91,0.74,2.66,0.52,20.01,151.95
2015,8,5,7.87,9.96,7.94,1.06,0.73,2.67,0.52,19.86,150.47
2015,8,6,5.26,4.28,7.52,2.51,0.49,1.83,0.36,14.04,104.44
2015,8,7,6.76,7.4,7.66,1.65,0.63,2.35,0.46,17.64,132.44
2015,8,8,7.59,9.54,7.73,1.09,0.71,2.61,0.51,19.38,146.85
2015,8,9,7.67,9.31,7.81,1.33,0.72,2.58,0.5,19.18,146.11
2015,8,10,6.98,7.11,7.56,2.15,0.66,2.38,0.47,17.88,135.7
2015,8,11,4.57,2.76,7.46,2.73,0.43,1.7,0.34,12.63,91.51
2015,8,12,7.21,7.81,7.45,1.52,0.68,2.49,0.48,18.43,139.91
2015,8,13,7.35,8.54,7.55,1.38,0.7,2.54,0.49,18.8,142.32
2015,8,14,7.24,8.22,7.43,1.34,0.7,2.39,0.47,18.42,140.16
2015,8,15,7.3,8.71,7.4,1.39,0.7,2.38,0.47,18.3,140.52
2015,8,16,7.4,9.23,7.44,1.17,0.71,2.51,0.49,18.69,142.81
2015,8,17,7.43,9.64,7.46,0.94,0.72,2.53,0.49,19,144.43
2015,8,18,7.47,9.45,7.53,1.17,0.73,2.48,0.48,18.63,142.23
2015,8,19,7.42,9.32,7.5,1.24,0.72,2.41,0.48,18.19,139.89
2015,8,20,7.38,9.47,7.39,1.05,0.72,2.4,0.47,18.48,141.38
2015,8,21,7.12,8.64,7.26,1.39,0.7,2.29,0.45,17.92,137.26
2015,8,22,7.33,9.57,7.32,0.98,0.72,2.45,0.48,18.49,141.12
2015,8,23,7.22,9.19,7.25,1.11,0.71,2.34,0.46,18.06,138.45
2015,8,24,6.6,6.64,7.14,1.76,0.66,2.24,0.44,17,128.08
2015,8,25,4.6,3.01,6.85,2.41,0.46,1.66,0.33,12.43,91.6
2015,8,26,7.03,8.7,7.07,1.14,0.7,2.3,0.45,17.81,136.14
2015,8,27,5.66,5.91,6.92,1.5,0.57,1.95,0.38,14.6,110.27
2015,8,28,7.01,8.83,7.14,1.11,0.71,2.29,0.45,17.74,135.05
2015,8,29,6.94,8.95,7.09,1.06,0.7,2.24,0.44,17.5,133.56
2015,8,30,6.83,8.47,6.99,1.19,0.7,2.24,0.44,17.34,132.23
2015,8,31,6.86,8.68,6.97,1.26,0.7,2.2,0.43,17.27,132.3
2015,9,1,6.57,5.91,6.95,2.36,0.67,2.13,0.42,16.67,126.52
2015,9,2,5.88,4.16,6.87,3.23,0.61,1.84,0.37,14.6,111.76
2015,9,3,5.94,6.21,6.77,1.85,0.62,1.91,0.38,15.01,114.41
2015,9,4,5.84,5.39,6.71,2.13,0.61,1.99,0.39,15.05,113.73
2015,9,5,6.42,7.52,6.79,1.44,0.67,2.12,0.41,16.34,124.19
2015,9,6,6.47,7.32,6.72,1.68,0.68,2.1,0.41,16.34,124.91
2015,9,7,5.11,4.58,6.57,2.13,0.54,1.79,0.35,13.46,100.8
2015,9,8,6.05,6.75,6.51,1.68,0.65,2.01,0.39,15.23,117.09
2015,9,9,3.29,1.2,6.5,2.55,0.35,1.32,0.26,9.53,67.18
2015,9,10,3.84,1.67,6.33,2.8,0.41,1.44,0.28,10.62,76.56
2015,9,11,6.6,9.07,6.6,0.92,0.72,2.05,0.41,16.38,126.59
2015,9,12,6.43,8.27,6.5,1.2,0.7,1.98,0.39,16.05,123.66
2015,9,13,4.89,4.21,6.41,2.47,0.54,1.58,0.31,12.8,95.94
2015,9,14,6.15,8.13,6.48,1.03,0.68,1.91,0.38,15.46,118.38
2015,9,15,6.24,8.82,6.67,0.91,0.7,1.99,0.39,15.71,119.14
2015,9,16,6.19,8.73,6.61,1.18,0.69,1.95,0.38,15.54,118.27
2015,9,17,6.78,10.47,6.75,0.61,0.76,2.11,0.41,16.39,126.16
2015,9,18,6.57,9.57,6.64,0.97,0.74,2.12,0.41,16.07,123.3
2015,9,19,6.37,8.95,6.41,0.89,0.73,2.12,0.41,15.79,121.4
2015,9,20,6.32,9.12,6.32,0.79,0.73,2.05,0.4,15.65,120.98
2015,9,21,2.23,0.9,5.76,1.69,0.26,0.91,0.18,6.66,46.49
2015,9,22,3.95,3.54,6.03,1.66,0.46,1.41,0.27,10.7,77.96
2015,9,23,6.17,9.15,6.14,0.77,0.72,1.73,0.34,15.14,117.88
2015,9,24,6.24,9.45,6.2,0.72,0.73,1.77,0.35,15.12,117.74
2015,9,25,6.34,9.76,6.3,0.69,0.75,1.81,0.36,15.16,117.9
2015,9,26,6.11,9.15,6.08,0.75,0.73,1.77,0.35,14.98,116.4
2015,9,27,6.01,8.78,6.03,0.87,0.72,1.76,0.35,14.67,114.24
2015,9,28,5.61,6.45,6.03,1.95,0.68,1.71,0.34,13.8,106.26
2015,9,29,6.04,9.24,6.01,0.71,0.73,1.79,0.35,14.55,113.66
2015,9,30,5.95,8.84,5.98,0.89,0.73,1.76,0.34,14.25,111.47
2015,10,1,6.11,9.68,6.09,0.63,0.75,1.78,0.35,14.43,112.89
2015,10,2,6.09,9.82,6.1,0.59,0.76,1.73,0.34,14.45,112.58
2015,10,3,6.03,9.77,6.11,0.69,0.75,-999,0.3,13.97,109.68
2015,10,4,4.82,6.36,5.83,1.32,0.61,1.27,0.26,11.75,90.34
2015,10,5,4.02,3.96,5.65,1.89,0.51,1.16,0.23,10.25,76.83
2015,10,6,2.87,2.38,5.57,1.61,0.37,0.84,0.16,7.79,57.1
2015,10,7,5.54,8.5,5.59,0.85,0.71,1.3,0.26,13.14,103.94
2015,10,8,5.65,9.05,5.62,0.7,0.73,1.4,0.28,13.42,105.88
2015,10,9,5.57,8.98,5.53,0.68,0.73,1.49,0.3,13.31,105.07
2015,10,10,4.57,4.83,5.39,2.23,0.6,1.29,0.25,11.22,86.92
2015,10,11,5.35,8.39,5.29,0.77,0.71,1.31,0.27,12.79,101.55
2015,10,12,4.74,4.94,5.28,2.15,0.63,1.28,0.25,11.71,90.93
2015,10,13,5.26,8.47,5.24,0.73,0.71,1.35,0.27,12.61,100.14
2015,10,14,5.31,8.79,5.28,0.67,0.72,1.36,0.27,12.62,100.23
2015,10,15,4.17,4.09,5.27,2.04,0.57,1.18,0.23,10.34,78.81
2015,10,16,2.96,2.47,4.98,1.71,0.41,0.9,0.17,7.59,57.4
2015,10,17,3.9,4.37,4.9,1.71,0.54,1.04,0.2,9.77,75.8
2015,10,18,3.65,2.43,4.98,2.49,0.52,1.05,0.2,9.4,70.51
2015,10,19,4.25,5.27,4.96,1.43,0.6,1.04,0.21,10.3,80.49
2015,10,20,2.75,2.02,4.85,1.69,0.39,0.77,0.16,7.31,53.98
2015,10,21,3.89,4.53,4.89,1.5,0.56,0.94,0.19,9.56,74.12
2015,10,22,4.93,8.11,4.93,0.8,0.71,1.07,0.22,11.47,91.93
2015,10,23,4.98,8.66,4.97,0.6,0.73,1.09,0.22,11.58,92.66
2015,10,24,5.04,8.96,5,0.57,0.74,1.12,0.23,11.62,93.16
2015,10,25,3.31,1.62,4.83,2.5,0.49,1.03,0.2,8.59,63.27
2015,10,26,4.72,6.92,4.81,1.23,0.7,1.16,0.23,10.73,86.2
2015,10,27,4.66,6.4,4.91,1.4,0.7,1.1,0.22,10.63,84.49
2015,10,28,3.67,2.59,4.77,2.34,0.55,0.97,0.19,8.89,67.95
